ID,Name,TWA,TWA New Level
578,Disable Security Software,Extrinsic-A or Extrinsic-O,Medium
579,Replace Winlogon Helper DLL,??,??
580,System Footprinting,Extrinsic-C,High
581,Security Software Footprinting,??,??
582,Route Disabling,Extrinsic-A or Extrinsic-O,High
583,Disabling Network Hardware,Extrinsic-A or Extrinsic-O,??
584,BGP Route Disabling,Extrinsic-A or Extrinsic-O,??
585,DNS Domain Seizure,Extrinsic-A or Extrinsic-O,??
586,Object Injection,"Extrinsic-I,Extrinsic-A or Extrinsic-O",Medium
587,Cross Frame Scripting (XFS),Extrinsic-C,??
588,DOM-Based XSS,Extrinsic-XS,Low
589,DNS Blocking,Extrinsic-A or Extrinsic-O,??
590,IP Address Blocking,Extrinsic-A or Extrinsic-O,High
591,Reflected XSS,Extrinsic-XS,Low
592,Stored XSS,Extrinsic-XS,Low
593,Session Hijacking,Extrinsic-M or Extrinsic-U,Low
594,Traffic Injection,"Extrinsic-I,Extrinsic-A or Extrinsic-O",??
595,Connection Reset,??,??
596,TCP RST Injection,??,??
597,Absolute Path Traversal,Extrinsic-M or Extrinsic-U,??
598,DNS Spoofing,??,??
599,Terrestrial Jamming,Extrinsic-A or Extrinsic-O,High
600,Credential Stuffing,Extrinsic-M or Extrinsic-U,Low
601,Jamming,Extrinsic-A or Extrinsic-O,Medium
602,DEPRECATED: Degradation,??,??
603,Blockage,Extrinsic-A or Extrinsic-O,Medium
604,Wi-Fi Jamming,Extrinsic-A or Extrinsic-O,Medium
605,Cellular Jamming,Extrinsic-A or Extrinsic-O,??
606,Weakening of Cellular Encryption,Extrinsic-C,??
607,Obstruction,Extrinsic-A or Extrinsic-O,??
608,Cryptanalysis of Cellular Encryption,Extrinsic-C,??
609,Cellular Traffic Intercept,Extrinsic-C,??
610,Cellular Data Injection,Extrinsic-A or Extrinsic-O,??
611,BitSquatting,??,??
612,WiFi MAC Address Tracking,??,??
613,WiFi SSID Tracking,??,??
614,Rooting SIM Cards,"Extrinsic-C,Extrinsic-I",??
615,Evil Twin Wi-Fi Attack,Extrinsic-C,??
616,Establish Rogue Location,"Extrinsic-C,Extrinsic-I",Medium
617,Cellular Rogue Base Station,Extrinsic-C,??
618,Cellular Broadcast Message Request,??,??
619,Signal Strength Tracking,??,??
620,Drop Encryption Level,Extrinsic-M or Extrinsic-U,??
621,Analysis of Packet Timing and Sizes,Extrinsic-C,??
622,Electromagnetic Side-Channel Attack,Extrinsic-C,??
623,Compromising Emanations Attack,Extrinsic-C,??
624,Hardware Fault Injection,"Extrinsic-C,Extrinsic-I",High
625,Mobile Device Fault Injection,Extrinsic-M or Extrinsic-U,??
626,Smudge Attack,Extrinsic-M or Extrinsic-U,??
627,Counterfeit GPS Signals,Extrinsic-I,High
628,Carry-Off GPS Attack,??,??
629,Unauthorized Use of Device Resources,??,??
630,TypoSquatting,??,??
631,SoundSquatting,??,??
632,Homograph Attack via Homoglyphs,??,??
633,Token Impersonation,Extrinsic-I,??
634,Probe Audio and Video Peripherals,Extrinsic-C,High
635,Alternative Execution Due to Deceptive Filenames,??,??
636,Hiding Malicious Data or Code within Files,??,??
637,Collect Data from Clipboard,Extrinsic-C,High
638,Altered Component Firmware,??,??
639,Probe System Files,Extrinsic-C,??
640,Inclusion of Code in Existing Process,"Extrinsic-C,Extrinsic-I",High
641,DLL Side-Loading,Extrinsic-I,High
642,Replace Binaries,??,??
643,Identify Shared Files/Directories on System,Extrinsic-C,Medium
644,Use of Captured Hashes (Pass The Hash),Extrinsic-M or Extrinsic-U,Medium
645,Use of Captured Tickets (Pass The Ticket),Extrinsic-I,High
646,Peripheral Footprinting,??,??
647,Collect Data from Registries,Extrinsic-C,Medium
648,Collect Data from Screen Capture,Extrinsic-C,Medium
649,Adding a Space to a File Extension,Extrinsic-M or Extrinsic-U,High
650,Upload a Web Shell to a Web Server,Extrinsic-M or Extrinsic-U,??
651,Eavesdropping,Extrinsic-C,??
652,Use of Known Kerberos Credentials,Extrinsic-M or Extrinsic-U,Medium
653,Use of Known Windows Credentials,Extrinsic-M or Extrinsic-U,Low
654,Credential Prompt Impersonation,Extrinsic-M or Extrinsic-U,Medium
655,Avoid Security Tool Identification by Adding Data,Extrinsic-I,Low
656,Voice Phishing,Extrinsic-M or Extrinsic-U,Low
657,Malicious Automated Software Update via Spoofing,Extrinsic-M or Extrinsic-U,Low
660,Root/Jailbreak Detection Evasion via Hooking,Extrinsic-M or Extrinsic-U,Medium
661,Root/Jailbreak Detection Evasion via Debugging,Extrinsic-M or Extrinsic-U,Medium
